# animation — the animation stack, phase by phase. Each demo checks its own phase against an
# analytic answer or a host reference, which is what lets the whole chain be verified without a
# character artist or a screenshot.

# skeleton_demo exercises the phase-A0 animation foundations: the math seam additions
# (TRS decompose, affine inverse, slerp/nlerp) and the skeleton cook/load path
# (topological sort, inverse-bind derivation, IAnimationDatabase, bind-pose skinning),
# checked headlessly.
sushiengine_add_sample(skeleton_demo skeleton_demo.cpp)
# import-baked additive layer, checked headlessly.
sushiengine_add_sample(layered_animation_demo layered_animation_demo.cpp)

# ik_demo exercises the phase-A6 IK / pose-modifier stack: analytic two-bone (reach, length
# preservation, pole, out-of-reach clamp), look-at chain aim, FABRIK chain convergence, and
# ground-ray foot placement, plus running a solver through the AnimatorEvaluator's modifier
# stack, checked headlessly.
sushiengine_add_sample(ik_demo ik_demo.cpp)

# morph_demo exercises the phase-A7 morph targets + generic tracks: the .sushianim v2 morph and
# generic float tracks, sampling a clip's morph tracks onto a mesh's target order, the CPU morph
# blend reference, and the generic-track binding registry, checked headlessly.
sushiengine_add_sample(morph_demo morph_demo.cpp)

# retarget_demo exercises the phase-A8 humanoid avatar + retargeting: heuristic bone mapping,
# bind-pose-delta retargeting across differently-proportioned rigs, and left/right mirroring,
# checked headlessly.
sushiengine_add_sample(retarget_demo retarget_demo.cpp)

# authoring_demo exercises the phase-A9 authoring seams: a controller round-tripping through JSON
# to a byte-identical blob (save/load + undo/redo), and edit-mode scrub preview posing a
# blend-tree state off the loop, checked headlessly.
sushiengine_add_sample(authoring_demo authoring_demo.cpp)
# Header-only JSON for animator_controller_json.hpp's save/load round trip.
find_package(nlohmann_json CONFIG REQUIRED)
target_link_libraries(authoring_demo PRIVATE nlohmann_json::nlohmann_json)

# keyframe_demo exercises the animation authoring model: sparse scalar/quaternion keyframe curves
# (constant/linear/cubic), the pose recorder that captures a live pose into keys, baking to the
# dense runtime clip, and morph-curve baking, checked headlessly.
sushiengine_add_sample(keyframe_demo keyframe_demo.cpp)
